Tag_front,Tag_back,Release_Date,Recap_Date,Days_at_liberty,Release_lat,Release_long,Recap_Lat,Recap_Long,Distance_nm,ICES_rect_Tagged,ICES_rect_Recap,Release_Length_cm,Recap_Length_cm,Growth,Tag_missing,Fish_Returned,Whole_Gutted,Whole_Weight_g,Gutted_Weight_g,Sex,Maturity,Vessel
30591,30592,12-04-17,12-01-18,275,51.45666667,-7.115,51.53333333,-6.966666667,7.206419509,3.10E+03,3.20E+04,45,63,18,F,Yes,G,N/A,2455,U,U,Vessel 1 
33205,33206,17-12-17,20-01-18,34,52.24002,-6.95388,52.24002,-6.95388,0,3.30E+04,3.30E+04,25,NA,NA,No,Re-released,W,N/A,N/A,U,U,Angler 1
30839,30840,01-07-17,26-01-18,209,53.5895,-5.649166667,53.73333333,-5.433333333,11.55597976,3.60E+05,3.90E+05,58,71,13,No,Yes,W,4950,3715,F,5,Vessel 2
3571,3572,05-03-18,11-03-18,6,53.91933333,-5.8905,53.68943333,-5.644983333,16.31901848,3.60E+05,3.60E+05,69,69,0,B,Yes,W,NA,2680,F,7,Vessel 3
3612,3613,25-02-18,21-03-18,24,53.95433333,-5.739333333,54.91533333,-5.833,57.79150894,3.60E+05,3.80E+05,69,66,0,B,Yes,W,2750,2470,M,5,Vessel 2
3776,3777,20-03-18,27-03-18,7,53.68,-5.670666667,53.90333333,-5.616833333,13.54428783,3.60E+05,3.60E+05,98,94,0,No,Yes,W,8775,6135,F,5,Vessel 2
3556,3557,27-02-18,29-03-18,30,53.82116667,-5.735166667,54.15633333,-5.076333333,30.75445228,3.60E+05,3.70E+05,74,71,0,F,Yes,W,3335,2870,F,7,Vessel 4
33160,33159,03-12-17,15-04-18,133,52.24433333,-6.968,52.24433333,-6.968,0,3.30E+04,3.30E+04,18,24,6,B,Re-released,W,N/A,N/A,U,U,Angler 1
1951,1952,24-02-18,12-04-18,47,51.52608333,-7.066816667,50.96415,-8.19475,54.17893854,3.20E+03,3.00E+02,47,48,1,No,No,G,N/A,N/A,U,U,Vessel 5
Missing,43065,25-02-18,28-04-18,62,53.8281,-5.626,53.63083333,-5.375166667,14.82091831,3.60E+05,3.60E+05,64,66,2,No,Yes,W,2706,2341,F,7,Vessel 6
23958,Missing,11-04-17,26-04-18,380,51.665,-6.85,51.25,-8.5,66.56527659,3.20E+04,3.10E+02,57,75,18,No,Yes,G,N/A,4200,U,U,Vessel 7
Missing,43250,26-02-18,02-05-18,65,53.90533333,-5.622333333,53.57333333,-5.469166667,20.6621848,3.60E+05,3.60E+05,66,65,0,No,Yes,G,N/A,2900,U,U,Vessel 8
35042,Missing,26-03-18,04-05-18,39,53.5515,-5.83,53.56666667,-5.483333333,12.39687451,3.60E+05,3.60E+05,68,67,0,No,Yes,W,3060,2885,M,3,Vessel 2
Missing,33997,26-03-18,15-05-18,50,53.525,-5.830666667,53.518,-5.511333333,11.40644173,3.60E+05,3.60E+05,89,87,0,No,Yes,W,5960,5550,F,7,Vessel 2
38431,38432,10-08-17,16-05-18,279,53.576,-5.489166667,53.541,-5.488333333,2.10162628,3.60E+05,3.60E+05,85,91,6,No,Yes,W,7695,7170,F,7,Vessel 8
3626,3627,25-02-18,29-05-18,93,53.95433333,-5.739333333,53.53333333,-5.483333333,26.86174896,3.60E+05,3.60E+05,60,63,3,No,Yes,G,N/A,2100,U,U,Vessel 3
