year,survey_ID,station,lat_d,lat_m.m,long_d,long_m.m,longitude,latitude,numbercodtagged,gear
2018,D00272018CS00100010,1,NA,NA,NA,NA,-5.725666667,53.72166667,5,Mid-water demersal
2018,D00272018CS00100010,2,NA,NA,NA,NA,-5.415666667,53.73483333,5,Mid-water demersal
2018,D00272018CS00100010,4,NA,NA,NA,NA,-5.584166667,53.96333333,8,Mid-water demersal
2018,D00272018CS00100010,5,NA,NA,NA,NA,-5.653166667,54.02833333,12,Mid-water demersal
2018,D00272018CS00100010,7,NA,NA,NA,NA,-5.588666667,53.98166667,5,Mid-water demersal
2018,D00282018CS00100010,1,NA,NA,NA,NA,-5.631666667,53.875,12,Mid-water demersal
2018,D00282018CS00100010,2,NA,NA,NA,NA,-5.626666667,53.89666667,6,Mid-water demersal
2018,D00282018CS00100010,3,NA,NA,NA,NA,-5.71,53.96333333,5,Mid-water demersal
2018,D00292018CS00100010,1,NA,NA,NA,NA,-5.333333333,54.945,18,Mid-water demersal
2018,D00292018CS00100010,3,NA,NA,NA,NA,-5.282833333,54.71116667,1,Mid-water demersal
2018,D00292018CS00100010,5,NA,NA,NA,NA,-5.810666667,53.467,9,Mid-water demersal
2018,D00292018CS00100010,6,NA,NA,NA,NA,-5.6725,53.55433333,4,Mid-water demersal
2018,D00302018CS00100010,1,NA,NA,NA,NA,-5.788333333,53.79666667,4,Mid-water demersal
2018,D00302018CS00100010,2,NA,NA,NA,NA,-5.405,53.83333333,7,Mid-water demersal
2018,D00302018CS00100010,3,NA,NA,NA,NA,-5.63,53.95833333,5,Mid-water demersal
2018,D00302018CS00100010,4,NA,NA,NA,NA,-5.576666667,54.035,6,Mid-water demersal
2018,D00302018CS00100010,5,NA,NA,NA,NA,-5.616833333,53.90333333,2,Mid-water demersal
2018,D00392018VD00100010,1,NA,NA,NA,NA,-5.625333333,53.87483333,27,Mid-water demersal
2018,D00392018VD00100010,2,NA,NA,NA,NA,-5.626,53.82816667,22,Mid-water demersal
2018,D00392018VD00100010,3,NA,NA,NA,NA,-5.721,53.87133333,11,Mid-water demersal
2018,D00392018VD00100010,4,NA,NA,NA,NA,-5.739333333,53.95433333,25,Mid-water demersal
2018,D00392018VD00100010,5,NA,NA,NA,NA,-5.7215,53.85733333,10,Mid-water demersal
2018,D00392018VD00100010,6,NA,NA,NA,NA,-5.622333333,53.90533333,17,Mid-water demersal
2018,D00392018VD00100010,9,NA,NA,NA,NA,-5.7685,53.79133333,15,Mid-water demersal
2018,D00392018VD00100010,10,NA,NA,NA,NA,-5.735166667,53.82116667,7,Mid-water demersal
2018,D00392018VD00100010,11,NA,NA,NA,NA,-5.7695,53.9745,8,Mid-water demersal
2018,D00402018VD00380010,2,NA,NA,NA,NA,-5.9405,53.90933333,12,Mid-water demersal
2018,D00402018VD00380010,3,NA,NA,NA,NA,-5.966833333,53.80283333,7,Mid-water demersal
2018,D00402018VD00380010,4,NA,NA,NA,NA,-5.8905,53.75266667,5,Mid-water demersal
2018,D00402018VD00380010,5,NA,NA,NA,NA,-5.720166667,53.58816667,14,Mid-water demersal
2018,D00402018VD00380010,6,NA,NA,NA,NA,-5.705666667,53.5205,3,Mid-water demersal
2018,D00402018VD00380010,7,NA,NA,NA,NA,-5.616666667,53.67233333,12,Mid-water demersal
2018,D00402018VD00380010,8,NA,NA,NA,NA,-5.591,53.77483333,4,Mid-water demersal
2018,D00402018VD00380010,9,NA,NA,NA,NA,-5.687666667,53.88433333,6,Mid-water demersal
2018,D00402018VD00380010,10,NA,NA,NA,NA,-5.3215,54.9885,44,Mid-water demersal
2018,D00402018VD00380010,11,NA,NA,NA,NA,-5.335166667,54.99,50,Mid-water demersal
2018,D00402018VD00380010,12,NA,NA,NA,NA,-5.338333333,54.99166667,51,Mid-water demersal
2018,D00402018VD00380010,13,NA,NA,NA,NA,-5.318666667,54.9535,99,Mid-water demersal
2018,D00402018VD00380010,14,NA,NA,NA,NA,-5.356333333,54.9885,25,Mid-water demersal
2018,D00402018VD00380010,15,NA,NA,NA,NA,-5.353,54.988,32,Mid-water demersal
2018,D00402018VD00380010,16,NA,NA,NA,NA,-5.367,54.98483333,2,Mid-water demersal
2018,D00402018VD00380010,17,NA,NA,NA,NA,-5.438833333,54.95033333,59,Mid-water demersal
2018,D00402018VD00380010,18,NA,NA,NA,NA,-5.319166667,54.95216667,93,Mid-water demersal
2018,D00402018VD00380010,19,NA,NA,NA,NA,-5.338333333,54.9915,27,Mid-water demersal
2018,D00402018VD00380010,20,NA,NA,NA,NA,-5.3215,54.99233333,47,Mid-water demersal
2018,D00402018VD00380010,21,NA,NA,NA,NA,-5.318,54.9565,16,Mid-water demersal
2018,D00412018VD00380010,1,NA,NA,NA,NA,-5.390666667,54.96766667,4,Mid-water demersal
2018,D00412018VD00380010,2,NA,NA,NA,NA,-5.402666667,54.9555,49,Mid-water demersal
